Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,y
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1
0,0,35,0,570,8,0,9,2,1,2,25,26.01,0
0,0,39,0,585,16,17,11,2,1,2,25,103.545,0
0,0,21,0,1055,26,178,5,2,2,1,25,849.645,0
3,0,17,0,2100,31,29,12,2,1,1,25,226.395,0
7,0,35,0,5108,87,1,24,2,1,1,25,238.275,1
14,0,43,1,14258,183,18,51,3,1,1,30,649.64,0
6,0,40,0,15180,182,151,29,2,1,1,25,1370.79,0
6,0,38,0,3598,56,0,20,1,1,1,15,200.97,0
7,0,28,1,1628,42,35,70,4,1,1,45,129.25,0
10,0,12,0,8753,163,62,35,4,1,1,45,377.9,0
8,0,40,3,703,13,16,6,5,1,1,55,34.74,0
5,0,38,1,4325,82,0,22,3,1,1,30,176.28,0
5,0,35,0,6603,70,110,38,2,1,1,25,795.285,0
5,0,38,0,2043,40,37,33,3,1,2,30,231.32,1
0,0,34,0,0,0,0,0,5,1,1,55,0.0,0
0,0,35,0,570,8,0,9,2,1,2,25,26.01,0
22,0,23,2,9498,187,95,48,5,1,1,55,287.775,0
0,1,34,0,0,0,0,0,3,1,2,30,0.0,1
28,1,35,0,1260,53,23,19,3,1,2,30,144.52,1
23,0,31,3,15885,237,0,77,2,1,1,25,725.49,0
9,0,35,0,2153,38,2,27,3,1,2,30,95.64,1
9,0,27,0,1758,39,7,66,4,1,1,45,62.425,0
16,0,43,2,2838,68,376,30,3,1,1,30,1620.24,0
0,0,34,0,0,0,0,0,5,1,1,55,0.0,0
3,0,36,0,5803,90,9,13,2,1,1,25,305.685,0
5,0,34,0,2033,48,320,18,2,1,1,25,1533.645,0
0,0,30,0,0,0,0,0,3,1,1,30,0.0,0
0,0,36,0,0,0,0,0,2,1,2,25,0.0,0
7,0,34,1,4560,79,7,21,3,1,1,30,213.56,0
16,0,44,2,3345,69,197,31,2,1,1,25,1040.13,0
0,0,36,0,2190,11,455,5,3,1,1,30,1908.04,0
5,0,33,0,4023,82,1,29,2,1,1,25,189.225,0
0,0,17,0,660,16,0,5,2,1,1,25,30.42,0
0,0,18,0,1095,16,7,6,2,1,1,25,81.495,0
12,0,38,0,2383,49,32,30,4,1,2,45,140.8,1
16,0,17,1,6392,141,85,42,2,2,1,25,676.485,0
2,0,40,0,180,8,11,5,2,1,2,25,57.96,1
6,0,34,1,5963,91,7,8,3,1,1,30,270.16,0
15,1,37,0,2978,55,42,31,3,1,2,30,289.32,1
0,0,26,0,3100,63,12,26,3,1,1,30,174.52,0
0,0,28,0,3153,66,0,20,2,1,1,25,144.855,0
30,0,33,4,16380,244,7,82,2,2,1,25,779.58,0
8,0,35,2,7090,103,21,24,5,1,1,55,139.395,0
26,1,32,0,1080,45,12,14,3,1,2,30,93.0,1
1,0,35,0,1475,43,29,17,3,1,2,30,176.72,0
5,0,37,0,818,7,7,2,4,1,2,45,38.125,1
0,0,36,0,3528,81,0,25,2,1,1,25,162.405,0
7,1,41,0,618,16,18,9,3,1,2,30,97.36,1
21,0,19,2,6698,147,92,44,2,2,1,25,722.025,0
7,0,38,0,2048,53,0,14,3,1,2,30,84.04,0
8,0,38,0,6108,96,16,15,3,1,1,30,312.16,0
5,0,34,0,305,6,7,2,3,1,2,30,40.44,1
13,0,18,4,3157,51,38,21,3,1,1,30,280.32,0
9,0,33,2,1575,46,208,17,3,2,1,30,896.84,0
4,0,11,0,8568,162,61,36,4,1,1,45,370.75,0
16,1,43,0,2723,68,26,24,3,1,2,30,215.64,0
6,0,9,0,8548,163,56,34,4,1,1,45,357.775,0
8,1,31,0,2910,39,0,12,3,1,2,30,117.96,1
4,0,33,0,5918,89,0,11,2,1,1,25,270.315,0
5,0,37,0,14885,172,129,15,2,1,1,25,1258.065,0
0,0,35,0,3500,66,0,23,3,1,1,30,142.64,0
6,0,38,3,6920,120,279,37,2,2,1,25,1572.3,0
13,0,34,0,2758,60,358,25,2,1,1,25,1737.81,0
20,1,39,0,3283,61,49,33,4,1,2,45,206.1,1
4,0,33,0,1973,25,0,7,3,1,1,30,79.92,0
5,0,32,4,7260,120,285,46,2,2,1,25,1614.6,0
1,0,32,2,6660,110,264,31,2,2,1,25,1492.65,0
10,0,34,1,11770,154,10,48,3,1,1,30,516.96,0
0,0,32,0,0,0,0,0,2,1,2,25,0.0,1
11,0,31,1,2053,53,48,75,5,1,1,55,103.59,0
0,0,36,0,405,8,6,6,2,1,2,25,45.585,0
33,0,42,5,15505,234,66,36,3,2,1,30,893.56,0
28,0,35,3,15445,225,53,33,3,1,1,30,838.8,0
7,0,41,0,3893,66,2,34,1,1,1,15,228.745,0
8,0,43,2,683,14,19,8,3,1,1,30,103.88,0
5,0,40,0,420,12,39,6,3,1,2,30,173.28,1
0,0,22,0,2210,44,0,21,3,1,1,30,90.16,0
1,0,30,0,3210,66,10,20,2,1,1,25,192.42,0
0,0,31,0,6290,90,0,17,4,1,1,45,159.5,0
0,0,39,0,323,7,10,3,4,1,2,45,33.25,1
7,0,19,0,1885,26,7,12,2,1,1,25,117.495,0
16,0,33,6,10015,81,0,36,4,1,1,45,252.4,0
6,1,42,0,1013,15,26,10,4,1,2,45,90.7,1
13,0,32,6,10070,84,0,38,4,1,1,45,253.85,0
7,0,35,1,3400,27,482,9,3,1,1,30,2065.08,0
0,0,28,0,600,6,24,5,4,1,2,45,75.15,0
18,0,26,2,15590,224,0,73,2,1,1,25,711.63,0
5,0,34,1,1893,29,7,4,4,1,1,45,65.55,0
12,0,25,0,1415,33,28,16,2,1,1,25,191.16,0
10,0,45,0,565,16,22,8,3,1,2,30,111.24,1
0,0,31,0,6725,94,9,20,4,1,1,45,192.975,0
6,0,25,0,395,19,3,5,2,1,2,25,32.13,0
13,0,38,1,3965,83,41,31,3,1,1,30,325.92,0
0,0,15,0,1515,18,17,9,2,1,1,25,145.485,0
14,0,40,1,14268,176,16,49,3,1,1,30,641.76,0
5,0,8,0,8627,159,58,37,4,1,1,45,364.65,0
5,0,37,1,11220,151,9,47,3,1,1,30,490.84,0
0,0,24,0,1263,33,23,66,4,1,1,45,89.9,0
0,0,34,0,1553,20,2,7,3,1,1,30,70.92,0
13,0,39,1,14483,180,8,44,3,1,1,30,618.52,0
0,0,34,0,2285,46,159,18,2,1,1,25,820.395,0
16,0,40,2,4080,88,39,30,3,1,1,30,322.72,0
19,0,40,3,7733,92,123,39,2,1,1,25,905.625,0
0,0,22,0,1203,30,18,64,4,1,1,45,75.825,0
7,0,37,0,13658,163,0,40,3,1,1,30,552.84,0
0,0,3,0,4130,30,200,4,3,1,1,30,966.4,0
33,1,41,0,1520,63,38,25,3,1,2,30,215.32,1
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
3,0,23,0,730,25,3,8,2,1,1,25,47.475,0
25,0,37,2,15025,219,22,28,3,1,1,30,697.76,0
2,0,31,0,1783,30,16,24,3,1,2,30,136.52,1
23,1,34,0,1070,53,48,21,3,1,2,30,236.92,1
3,0,23,0,1130,10,20,4,4,1,2,45,78.5,0
0,0,25,0,3035,60,0,20,3,1,1,30,123.8,0
8,0,38,0,4008,65,0,32,1,1,1,15,224.015,0
1,0,40,2,418,6,14,6,5,1,1,55,27.36,0
9,0,21,0,1145,30,9,9,2,1,1,25,93.375,0
9,0,16,3,4695,52,230,13,3,1,1,30,1109.88,0
3,0,37,1,6740,101,22,26,5,1,1,55,135.615,0
12,0,38,0,4388,67,10,38,1,1,1,15,300.025,0
0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,0
5,0,38,0,13583,168,0,41,3,1,1,30,550.04,0
9,0,39,0,6423,71,94,24,2,1,1,25,715.23,0
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0
0,0,29,0,1888,44,337,16,2,1,1,25,1603.44,0
18,0,30,0,535,35,0,11,2,1,2,25,25.65,1
3,0,24,1,1863,43,44,81,4,1,1,45,157.65,0
11,0,27,3,4130,77,36,40,3,1,1,30,312.28,0
15,0,40,1,4503,72,8,37,1,1,1,15,295.625,0
7,0,11,2,4695,46,222,12,3,1,1,30,1077.64,0
5,0,35,0,1910,47,40,20,3,1,2,30,238.28,0
9,0,29,2,1620,42,200,13,3,2,1,30,866.48,0
0,0,36,0,2615,18,3,16,3,1,1,30,117.32,0
2,0,40,0,3673,86,10,32,2,1,1,25,214.155,0
2,0,35,0,13353,157,0,38,3,1,1,30,540.4,0
23,0,38,3,14950,224,45,29,3,1,1,30,786.96,0
16,0,16,0,6278,135,53,38,1,2,1,15,644.215,0
5,0,38,0,438,8,7,4,3,1,2,30,45.84,1
12,0,34,2,6113,102,40,37,2,1,1,25,459.675,0
0,0,39,0,2268,60,6,36,1,1,1,15,161.04,0
5,0,34,1,3075,57,189,36,2,1,1,25,991.44,0
3,0,36,0,6385,80,154,22,3,1,1,30,874.6,0
9,0,37,1,11655,155,20,50,4,1,1,45,345.25,0
14,0,40,2,3890,87,30,27,3,1,1,30,279.08,0
14,1,37,0,3295,47,16,18,3,1,2,30,197.68,1
18,0,21,2,9318,179,90,46,5,1,1,55,277.455,0
2,0,37,0,3660,60,0,17,2,1,1,25,167.4,0
23,0,18,2,9947,188,88,42,5,1,1,55,284.025,0
2,0,36,0,3718,82,2,28,2,1,1,25,180.0,0
5,0,38,0,955,17,15,8,3,1,2,30,98.88,0
10,0,25,0,995,29,24,20,2,1,2,25,154.08,0
23,1,37,0,910,51,24,21,2,1,2,25,151.245,1
3,0,34,0,2280,37,275,14,3,1,1,30,1192.68,0
5,0,32,0,305,6,7,2,3,1,2,30,40.44,1
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,0
12,0,44,1,14033,179,15,50,3,1,1,30,628.48,0
6,0,9,0,5828,125,63,34,1,2,1,15,673.915,0
22,1,40,9,10515,95,11,46,5,1,1,55,175.65,0
8,0,24,2,2080,34,45,20,3,1,1,30,264.56,0
18,0,34,0,1005,37,25,10,3,1,2,30,141.68,0
13,0,39,2,5225,94,10,25,3,1,1,30,252.76,0
14,0,44,2,4755,79,22,23,3,1,1,30,281.36,0
0,0,34,0,3223,75,0,23,2,1,1,25,148.41,0
0,0,22,0,3045,53,0,18,3,1,1,30,123.92,0
9,0,38,1,4760,86,7,25,3,1,1,30,221.84,0
15,0,42,3,9115,127,152,44,3,1,1,30,977.68,0
10,0,40,3,7090,109,29,25,5,1,1,55,151.485,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0
1,0,36,0,5613,89,0,10,2,1,1,25,256.59,0
12,0,40,2,4820,89,9,27,3,1,1,30,232.36,0
6,0,16,3,2608,42,29,19,3,1,1,30,222.0,0
6,0,25,2,3825,71,29,38,3,1,1,30,271.84,0
23,0,24,3,6697,153,100,45,2,2,1,25,758.25,0
0,0,33,0,3298,70,0,22,2,1,1,25,151.56,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0
6,0,32,2,6910,95,10,19,5,1,1,55,120.075,0
11,0,33,2,1873,51,45,71,5,1,1,55,96.36,0
9,0,37,1,6043,93,7,9,3,1,1,30,273.44,0
7,0,26,0,1100,34,23,16,2,1,1,25,154.53,0
23,0,33,0,955,47,16,17,2,1,2,25,117.09,1
11,0,35,0,4675,71,4,18,2,1,1,25,231.57,0
0,0,23,0,0,0,10,0,4,1,2,45,25.0,0
5,0,38,2,643,10,11,4,5,1,1,55,26.295,0
0,0,14,0,1948,29,3,2,3,1,1,30,91.08,0
6,0,26,0,1758,40,39,71,4,1,1,45,142.45,0
2,0,33,0,3095,21,475,7,3,1,1,30,2024.64,0
7,0,39,0,4073,68,5,38,1,1,1,15,255.255,0
13,0,17,0,8638,167,59,27,5,1,1,55,220.575,0
17,0,40,1,4693,73,17,40,1,1,1,15,355.63,0
1,0,28,0,1190,38,197,14,2,2,1,25,941.76,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1
2,0,36,0,1743,47,0,12,3,1,2,30,71.6,0
0,0,28,0,1343,35,33,70,4,1,1,45,116.95,0
0,0,28,0,1360,32,23,17,3,1,2,30,147.68,0
0,0,35,0,6005,79,170,21,3,1,1,30,923.36,0
26,0,30,3,16480,243,1,78,2,1,1,25,757.035,0
0,0,33,0,6135,77,174,22,3,1,1,30,944.48,0
17,0,42,1,2938,74,377,31,3,1,1,30,1628.48,0
18,0,45,3,7283,91,130,45,2,1,1,25,916.83,0
0,0,32,0,2710,19,466,2,3,1,1,30,1973.16,0
0,0,31,0,1300,35,26,16,3,1,2,30,157.4,0
5,1,37,0,2765,37,12,18,2,1,2,25,180.09,1
9,0,36,0,15370,176,118,26,2,1,1,25,1230.57,0
9,0,37,0,4775,76,23,15,2,1,1,25,321.795,0
12,1,32,0,3295,41,8,17,3,1,2,30,165.44,1
6,0,34,1,6538,67,97,32,2,1,1,25,733.725,0
8,0,40,1,2698,64,9,35,2,1,1,25,164.79,0
0,0,7,0,4085,34,208,8,3,1,1,30,996.76,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,0
2,0,37,1,3833,88,34,32,3,1,1,30,292.84,0
13,0,43,3,11850,162,28,53,4,1,1,45,370.3,0
19,0,17,1,9427,178,89,45,5,1,1,55,277.575,0
3,0,33,0,933,7,8,5,4,1,2,45,43.5,1
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1
12,0,31,0,780,27,20,11,3,1,2,30,112.28,0
7,0,20,1,2000,32,35,16,3,1,1,30,221.28,0
1,0,36,0,5613,89,0,10,2,1,1,25,256.59,0
8,0,16,3,2852,45,31,19,3,1,1,30,239.88,0
26,1,30,0,1260,47,15,18,2,1,2,25,126.315,1
15,1,41,0,3375,49,26,22,3,1,2,30,240.96,1
12,0,40,2,4820,89,9,27,3,1,1,30,232.36,0
0,0,28,0,2215,37,153,15,2,1,1,25,789.84,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0
4,0,25,0,1453,33,0,64,4,1,1,45,37.15,0
3,0,37,0,3020,30,11,19,3,1,1,30,166.0,0
11,0,37,5,7385,128,310,39,3,2,1,30,1540.52,0
11,0,39,0,2158,56,345,11,3,1,1,30,1468.56,0
7,0,26,0,3415,61,7,21,3,1,1,30,167.04,0
5,0,41,0,305,6,7,2,3,1,2,30,40.44,0
14,0,17,1,6202,140,76,39,2,2,1,25,627.39,0
13,0,39,2,7023,81,115,39,2,1,1,25,837.18,0
10,0,24,0,1110,26,0,9,2,1,1,25,51.12,0
5,0,30,1,1648,41,40,72,4,1,1,45,142.225,0
10,0,45,2,2698,70,17,36,2,1,1,25,201.06,0
6,0,38,1,3340,30,485,8,3,1,1,30,2074.8,0
14,0,24,0,1005,25,9,8,2,1,2,25,86.85,0
14,0,35,3,1880,52,215,19,3,2,1,30,937.28,0
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0
12,0,41,0,4378,74,12,40,1,1,1,15,310.86,0
10,0,41,0,4550,79,16,22,3,1,1,30,249.16,0
15,0,41,2,4618,78,40,41,1,1,1,15,478.28,0
9,0,36,1,4493,70,15,48,1,1,1,15,333.465,0
7,0,34,0,4290,69,0,13,2,1,1,25,196.155,0
11,0,39,0,1148,19,15,4,3,1,2,30,106.68,1
0,0,40,0,570,14,1,10,2,1,2,25,30.78,0
2,1,7,2,1783,23,14,20,3,1,1,30,128.24,1
6,0,13,3,2673,37,20,14,3,1,1,30,188.4,0
7,0,40,2,3210,32,481,7,3,1,1,30,2053.68,0
0,0,25,0,1010,30,186,9,2,2,1,25,883.8,0
18,0,17,1,6638,144,87,42,2,2,1,25,696.69,0
14,0,29,1,760,28,15,9,3,1,1,30,91.52,0
6,1,37,0,1338,18,17,4,4,1,2,45,76.4,1
23,0,29,0,1000,43,8,13,2,1,2,25,82.935,1
2,0,36,0,13468,163,0,42,3,1,1,30,545.24,0
17,0,16,1,6797,146,86,40,1,2,1,15,854.865,0
16,0,39,4,12370,170,39,64,4,1,1,45,411.0,0
0,0,35,0,6440,83,181,24,3,1,1,30,984.92,0
30,0,40,4,15445,231,61,34,3,1,1,30,871.04,0
5,0,38,0,933,13,16,6,4,1,2,45,63.65,1
5,0,36,0,3893,60,0,33,1,1,1,15,217.415,0
7,0,40,1,3550,78,35,30,3,1,1,30,285.12,0
2,0,35,0,2180,31,274,13,3,1,1,30,1184.44,0
10,0,28,0,295,20,0,9,3,1,2,30,12.6,0
6,0,36,2,4810,87,16,38,3,1,1,30,259.88,0
9,0,36,0,2268,44,34,31,3,1,2,30,228.48,1
14,0,38,0,2573,50,41,33,4,1,2,45,168.075,1
8,0,39,1,7813,133,391,45,3,1,1,30,1881.84,0
7,0,43,0,933,19,24,7,4,1,2,45,83.8,1
0,0,15,0,680,9,0,12,2,1,1,25,31.005,0
5,0,21,1,3270,57,7,19,3,1,1,30,161.08,0
10,0,44,3,3480,35,500,14,4,1,1,45,1337.875,0
18,0,40,4,9535,133,183,49,3,1,1,30,1118.72,0
5,0,32,0,305,6,7,2,4,1,2,45,25.275,1
0,0,3,0,1103,11,0,1,2,1,1,25,50.13,1
0,0,28,0,2580,12,0,8,3,1,1,30,103.68,0
0,0,26,0,0,0,0,0,2,1,2,25,0.0,0
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
8,0,36,1,3335,29,16,19,3,1,1,30,198.56,0
0,0,16,0,1390,20,21,12,2,1,1,25,157.95,0
0,0,21,0,1390,26,29,13,2,1,1,25,194.22,0
9,0,23,1,1520,36,33,26,2,1,1,25,218.52,0
16,0,38,1,3163,71,367,24,3,1,1,30,1597.36,0
0,0,30,0,6365,85,0,16,4,1,1,45,161.25,0
8,0,37,0,2208,57,357,24,2,1,1,25,1708.425,0
0,1,31,0,0,0,0,0,2,1,2,25,0.0,1
0,0,36,0,1423,22,0,6,3,1,1,30,57.8,0
10,0,35,1,4820,83,1,26,3,1,1,30,200.12,0
13,0,19,5,3273,57,70,25,4,1,1,45,258.25,0
14,1,38,0,2573,50,41,33,4,1,2,45,168.075,1
10,0,29,2,3590,70,20,27,3,1,1,30,226.4,0
8,0,25,0,640,22,5,5,2,1,2,25,52.29,0
0,0,36,0,0,0,0,0,2,1,2,25,0.0,0
1,0,35,1,743,9,5,1,5,1,1,55,18.78,0
0,0,32,0,3353,73,0,24,2,1,1,25,154.17,0
6,0,29,0,1748,47,41,73,4,1,1,45,147.375,0
0,1,38,0,403,3,12,6,4,1,2,45,40.15,1
9,0,42,2,11465,160,19,48,4,1,1,45,338.125,0
3,0,33,1,643,4,3,3,5,1,1,55,14.205,0
10,0,16,3,3042,46,40,22,3,1,1,30,283.52,0
5,0,37,0,305,6,7,2,3,1,2,30,40.44,0
25,0,35,3,16030,242,8,84,2,1,1,25,768.24,0
10,0,34,5,7565,126,292,48,2,2,1,25,1660.095,0
1,0,35,0,1420,41,36,20,3,1,1,30,202.44,0
5,0,24,0,305,6,18,2,4,1,2,45,52.775,0
15,0,39,2,7213,82,124,42,2,1,1,25,886.275,0
0,0,32,0,0,0,0,0,2,1,2,25,0.0,1
22,0,38,7,10140,89,7,29,5,1,1,55,163.935,0
15,0,40,3,6823,111,35,29,3,1,1,30,417.36,0
8,0,34,1,6975,97,7,20,4,1,1,45,194.3,0
5,0,14,0,5377,124,53,40,1,2,1,15,594.055,0
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1
0,0,4,0,3905,26,197,3,3,1,1,30,945.24,0
0,0,37,0,258,2,2,2,2,1,2,25,20.7,0
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
10,0,37,0,2643,59,9,15,3,1,2,30,144.08,0
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0
0,0,27,0,1100,28,16,12,3,1,2,30,109.12,0
13,0,35,0,4503,66,0,36,1,1,1,15,251.295,0
13,0,36,4,7460,123,287,38,3,2,1,30,1451.32,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0
0,0,35,0,570,8,0,9,2,1,2,25,26.01,0
6,0,41,1,3275,35,494,13,3,1,1,30,2108.4,0
2,0,34,1,6380,92,0,24,5,1,1,55,97.08,0
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0
6,0,35,0,4190,63,0,12,3,1,1,30,170.12,0
11,0,36,1,13998,173,7,42,3,1,1,30,594.84,0
9,0,29,2,1620,42,200,13,3,2,1,30,866.48,0
10,0,47,0,883,21,29,12,3,1,2,30,152.16,0
0,0,34,0,0,0,0,0,2,1,2,25,0.0,1
0,0,35,0,1478,25,25,8,4,1,1,45,100.075,0
21,0,33,3,15850,234,3,82,2,1,1,25,737.28,0
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0
26,0,37,8,10625,93,7,40,4,1,1,45,285.45,0
1,0,35,0,1033,12,10,2,4,1,2,45,51.125,1
15,0,38,1,16195,193,158,30,2,1,1,25,1448.46,0
11,0,11,0,6133,131,70,36,1,2,1,15,729.52,0
20,0,28,1,15655,226,0,74,2,1,1,25,714.645,0
12,0,46,0,1275,30,35,16,3,1,2,30,192.2,0
4,0,39,0,3898,90,13,33,2,1,1,25,237.96,0
8,0,39,0,1833,49,0,19,3,1,2,30,75.28,0
24,0,29,4,16370,242,14,93,2,1,1,25,810.54,0
4,0,31,0,2780,47,167,22,2,1,1,25,878.715,0
12,0,33,1,9035,119,134,39,3,1,1,30,902.16,0
3,0,14,2,2547,39,24,17,3,1,1,30,199.44,0
5,0,36,0,3893,60,0,33,1,1,1,15,217.415,0
16,0,42,2,4735,80,17,21,3,1,1,30,260.6,0
3,0,37,0,10865,144,0,32,3,1,1,30,440.36,0
14,0,39,1,15790,188,157,32,2,1,1,25,1425.51,0
9,0,38,4,1243,20,32,19,5,1,1,55,66.945,0
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0
9,0,40,1,2665,45,292,20,3,1,1,30,1276.4,0
5,0,37,0,7698,128,393,46,2,1,1,25,2120.67,0
5,1,37,0,305,6,7,2,3,1,2,30,40.44,1
0,0,23,0,0,0,0,0,4,1,2,45,0.0,0
0,0,35,0,7203,121,377,41,2,1,1,25,2026.08,0
27,0,42,10,10820,101,18,48,5,1,1,55,190.815,0
7,0,31,1,3485,71,23,29,3,1,1,30,234.24,0
3,0,28,0,940,15,19,2,4,1,2,45,71.375,0
8,0,19,1,2405,37,36,14,2,1,1,25,271.89,0
30,0,41,5,15560,237,93,38,3,1,1,30,1003.88,0
1,0,38,0,2795,26,8,18,3,1,1,30,144.84,0
15,0,37,2,9360,124,146,43,3,1,1,30,963.36,0
25,0,31,3,16075,238,0,80,2,1,1,25,734.085,0
23,0,38,3,14895,222,52,32,3,1,1,30,812.68,0
0,0,35,0,513,1,0,3,4,1,2,45,12.85,1
20,0,19,2,9298,180,85,44,5,1,1,55,269.67,0
24,0,34,2,15060,223,44,28,3,1,1,30,787.32,0
11,0,41,3,6865,95,198,30,3,1,1,30,1070.4,0
0,0,30,0,2395,45,158,17,2,1,1,25,820.8,0
0,0,34,0,0,0,0,0,2,1,2,25,0.0,0
1,0,34,0,2475,47,168,21,2,1,1,25,869.49,0
24,1,32,3,15670,233,0,82,2,1,1,25,715.635,0
0,0,31,0,2088,46,0,30,1,1,1,15,117.37,0
14,0,45,3,4820,95,17,28,4,1,1,45,165.375,0
5,0,31,0,1710,40,30,16,3,1,2,30,190.0,0
0,0,35,0,12758,152,0,42,3,1,1,30,516.4,0
4,0,32,1,7190,102,15,20,4,1,1,45,219.8,0
4,0,33,0,2685,35,2,14,2,1,2,25,131.4,1
3,0,35,0,4123,87,3,26,2,1,1,25,202.95,0
20,0,32,7,10355,91,0,38,4,1,1,45,261.15,0
4,0,35,0,1818,42,0,11,3,1,2,30,74.4,0
17,0,36,6,9835,83,0,27,4,1,1,45,247.95,0
0,0,32,0,1588,23,0,2,3,1,1,30,64.44,0
5,0,36,1,1913,28,7,6,4,1,1,45,66.025,0
13,0,40,1,4675,77,12,19,3,1,1,30,238.08,0
15,0,12,0,9237,171,72,41,4,1,1,45,415.2,0
1,0,35,0,1548,44,331,7,2,1,1,25,1561.14,0
13,0,20,1,6087,141,86,41,2,2,1,25,667.26,0
5,0,36,0,873,10,11,4,4,1,2,45,49.575,1
25,0,32,4,16190,244,32,84,2,2,1,25,883.53,0
3,0,36,0,4065,65,0,15,2,1,1,25,185.85,0
0,0,26,0,2275,6,0,6,3,1,1,30,91.24,0
19,0,36,8,10190,90,0,42,4,1,1,45,257.0,0
2,0,41,0,133,8,8,3,3,1,2,30,37.64,1
0,0,36,0,3610,67,0,8,3,1,1,30,147.08,0
0,1,35,0,295,4,14,13,2,1,2,25,76.455,1
0,0,35,0,14580,166,122,13,2,1,1,25,1212.57,0
5,1,38,0,933,13,16,6,4,1,2,45,63.65,1
10,0,42,2,6718,81,116,38,2,1,1,25,827.955,0
5,0,20,1,1400,22,14,2,2,1,1,25,126.99,0
0,1,11,1,1263,15,3,9,3,1,1,30,63.12,1
0,0,40,0,2168,54,5,35,1,1,1,15,149.71,0
14,0,35,1,14125,208,22,30,2,1,1,25,743.985,0
8,0,37,0,14178,174,1,42,3,1,1,30,578.08,0
4,0,12,1,4570,48,226,15,3,1,1,30,1088.72,0
